date,net_pnl,transaction_cost,portfolio_value,leaders_pnl,stock_dip_pnl,index_dip_pnl,weight_leaders,weight_stock_dip,weight_index_dip,invested_weight,cash_weight,n_leaders,n_dips,top_holding,in_regime,daily_return
2016-10-19,0.6728745592078695,6.25,100000.67287455921,0.0,-18.594272963927406,-0.0,0.0,0.0625,0.0,0.0625,0.9375,0,1,AAPL,True,6.728745592078695e-06
2016-10-20,-33.461109503512525,6.250042054659951,99967.2117650557,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,-0.0003346088435373442
2016-10-21,0.0,0.0,99967.2117650557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,0.0
2016-10-24,0.0,0.0,99967.2117650557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,0.0
2016-10-25,13.6046831471001,0.0,99980.81644820281,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,0.00013609145345649942
2016-10-26,-150.60518153320942,18.746403084038025,99830.2112666696,0.0,-142.91258350620853,-0.0,0.0,0.1875,0.0,0.1875,0.8125,0,3,META,True,-0.0015063407849968263
2016-10-27,-166.19502857186095,0.0,99664.01623809774,0.0,-144.1237233598479,-0.0,0.0,0.1875,0.0,0.1875,0.8125,0,3,META,True,-0.001664776889311749
2016-10-28,-60.942099668952004,18.687003044643326,99603.07413842878,0.0,-62.600227865074196,-0.0,0.0,0.24999999999999997,0.0,0.24999999999999997,0.75,0,6,MSFT,True,-0.0006114754549260896
2016-10-31,105.43183529640685,16.600512356404796,99708.50597372519,0.0,111.86876865908876,-0.0,0.0,0.24999999999999997,0.0,0.24999999999999997,0.75,0,6,MSFT,True,0.0010585198921659509
2016-11-01,-323.7488160819936,7.12203614098037,99384.7571576432,0.0,-306.45382667202614,-0.0,0.0,0.25,0.0,0.25,0.75,0,7,MSFT,True,-0.00324695283436808
2016-11-02,3.8574959802969033,21.296733676637828,99388.61465362349,0.0,15.012927906149176,-0.0,0.0,0.25,0.0,0.25,0.75,0,4,META,True,3.881375867506703e-05
2016-11-03,-460.42918991821693,24.847153663405873,98928.18546370527,0.0,-425.44172051678254,-0.0,0.0,0.25,0.0,0.25,0.75,0,4,META,True,-0.004632615028621195
2016-11-04,-313.7489567345309,34.62486491229684,98614.43650697074,0.0,-208.7428504430107,-77.4475403409205,0.0,0.25,0.22499999999999998,0.475,0.525,0,4,NVDA,True,-0.0031714819721386576
2016-11-07,1459.632801865169,0.0,100074.06930883591,0.0,936.9383725089316,529.7373594563844,0.0,0.25,0.22499999999999998,0.475,0.525,0,4,NVDA,True,0.014801410965442087
2016-11-08,-33.91966328783426,47.53518292169706,100040.14964554808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,-0.00033894557823121687
2016-11-09,-40.827159425477305,0.0,99999.3224861226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,-0.0004081077404435307
2016-11-10,0.0,0.0,99999.3224861226,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,0.0
2016-11-11,-40.82715942547151,0.0,99958.49532669713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,-0.0004082743603701644
2016-11-14,40.82715942548122,0.0,99999.3224861226,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,0.00040844111640581104
2016-11-15,278.3461123332749,12.499915310765326,100277.66859845589,0.0,267.0301846458485,0.0,0.0,0.125,0.0,0.125,0.875,0,2,NVDA,True,0.0027834799817959004
2016-11-16,349.3393983838683,0.0,100627.00799683975,0.0,349.3393983838683,0.0,0.0,0.125,0.0,0.125,0.875,0,2,NVDA,True,0.0034837207851604116
2016-11-17,42.69781264185628,6.289187999802484,100669.7058094816,0.0,36.15192309103431,0.0,0.0,0.0625,0.0,0.0625,0.9375,0,1,QCOM,True,0.0004243176210028746
2016-11-18,-19.986552002770495,6.2918566130926,100649.71925747884,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,-0.00019853591348121388
2016-11-21,90.12292856727456,12.581214907184854,100739.84218604611,0.0,126.66836234528148,0.0,0.0,0.125,0.0,0.125,0.875,0,2,MSFT,True,0.0008954116239184434
2016-11-22,-12.592480273255765,12.592480273255765,100727.24970577285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,,False,-0.000125
