date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,regime_scale,stop_active,n_held,holdings,daily_return
2016-01-04,0.0,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0
2016-01-05,0.0,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0
2016-01-06,-54.31093007468579,0.0,99945.68906992531,0.0,1.0,1.0,False,0,,-0.0005431093007468579
2016-01-07,27.155465037334462,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0002717022143730041
2016-01-08,0.0,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0
2016-01-11,0.0,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0
2016-01-12,27.155465037353874,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0002716284123320811
2016-01-13,-27.155465037354,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,-0.00027155465037354
2016-01-14,-27.155465037331677,0.0,99945.68906992531,0.0,1.0,1.0,False,0,,-0.0002716284123318591
2016-01-15,0.0,0.0,99945.68906992531,0.0,1.0,1.0,False,0,,0.0
2016-01-19,27.155465037334462,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0002717022143730041
2016-01-20,0.0,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0
2016-01-21,27.155465037353874,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0002716284123320811
2016-01-22,-54.31093007468579,0.0,99945.68906992531,0.0,1.0,1.0,False,0,,-0.0005431093007468579
2016-01-25,27.155465037334462,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0002717022143730041
2016-01-26,-27.155465037331677,0.0,99945.68906992531,0.0,1.0,1.0,False,0,,-0.0002716284123318591
2016-01-27,27.155465037334462,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0002717022143730041
2016-01-28,0.0,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0
2016-01-29,27.155465037353874,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0002716284123320811
2016-02-01,-54.31093007468579,0.0,99945.68906992531,0.0,1.0,1.0,False,0,,-0.0005431093007468579
2016-02-02,0.0,0.0,99945.68906992531,0.0,1.0,1.0,False,0,,0.0
2016-02-03,27.155465037334462,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0002717022143730041
2016-02-04,27.155465037353874,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0002716284123320811
2016-02-05,0.0,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0
2016-02-08,-27.155465037354,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,-0.00027155465037354
2016-02-09,27.155465037353874,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0002716284123320811
2016-02-10,-27.155465037354,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,-0.00027155465037354
2016-02-11,13.577732518676937,0.0,99986.42226748132,0.0,1.0,1.0,False,0,,0.00013581420616604056
2016-02-12,-13.577732518674651,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,-0.00013579576317224173
2016-02-16,0.0,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0
2016-02-17,0.0,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,0.0
2016-02-18,27.155465037353874,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0002716284123320811
2016-02-19,0.0,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0
2016-02-22,0.0,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0
2016-02-23,-27.155465037354,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,-0.00027155465037354
2016-02-24,27.155465037353874,0.0,100000.0,0.0,1.0,1.0,False,0,,0.0002716284123320811
2016-02-25,-27.155465037354,0.0,99972.84453496264,0.0,1.0,1.0,False,0,,-0.00027155465037354
