date,portfolio_value,daily_return
2016-01-04,100000.0,0.0
2016-01-05,100000.0,0.0
2016-01-06,99978.27562797013,-0.00021724372029874317
2016-01-07,99989.13781398506,0.00010864546269373498
2016-01-08,99989.13781398506,0.0
2016-01-11,99989.13781398506,0.0
2016-01-12,100000.0,0.00010863366013968978
2016-01-13,99989.13781398506,-0.00010862186014948261
2016-01-14,99978.27562797013,-0.00010863366013957876
2016-01-15,99978.27562797013,0.0
2016-01-19,99989.13781398506,0.00010864546269373498
2016-01-20,99989.13781398506,0.0
2016-01-21,100000.0,0.00010863366013968978
2016-01-22,99978.27562797014,-0.00021724372029852113
2016-01-25,99989.13781398507,0.00010864546269373498
2016-01-26,99978.27562797014,-0.00010863366013957876
2016-01-27,99989.13781398507,0.00010864546269373498
2016-01-28,99989.13781398507,0.0
2016-01-29,100000.00000000001,0.00010863366013968978
2016-02-01,99978.27562797014,-0.00021724372029874317
2016-02-02,99978.27562797014,0.0
2016-02-03,99989.13781398509,0.00010864546269395703
2016-02-04,100000.00000000003,0.00010863366013968978
2016-02-05,100000.00000000003,0.0
2016-02-08,99989.13781398509,-0.00010862186014948261
2016-02-09,100000.00000000003,0.00010863366013968978
2016-02-10,99989.13781398509,-0.00010862186014948261
2016-02-11,99994.56890699256,5.431683006973387e-05
2016-02-12,99989.13781398509,-5.431387991206016e-05
2016-02-16,99989.13781398509,0.0
2016-02-17,99989.13781398509,0.0
2016-02-18,100000.00000000003,0.00010863366013968978
2016-02-19,100000.00000000003,0.0
2016-02-22,100000.00000000003,0.0
2016-02-23,99989.13781398509,-0.00010862186014948261
2016-02-24,100000.00000000003,0.00010863366013968978
2016-02-25,99989.13781398509,-0.00010862186014948261
2016-02-26,99989.13781398509,0.0
2016-02-29,100000.00000000003,0.00010863366013968978
2016-03-01,100000.00000000003,0.0
2016-03-02,99989.13781398509,-0.00010862186014948261
2016-03-03,100000.00000000003,0.00010863366013968978
2016-03-04,100000.00000000003,0.0
2016-03-07,100000.00000000003,0.0
2016-03-08,99989.13781398509,-0.00010862186014948261
2016-03-09,100000.00000000003,0.00010863366013968978
2016-03-10,100000.00000000003,0.0
2016-03-11,99989.13781398509,-0.00010862186014948261
2016-03-14,99989.13781398509,0.0
2016-03-15,99989.13781398509,0.0
2016-03-16,100000.00000000003,0.00010863366013968978
2016-03-17,99989.13781398509,-0.00010862186014948261
2016-03-18,99989.13781398509,0.0
2016-03-21,100000.00000000003,0.00010863366013968978
2016-03-22,99994.56890699256,-5.431093007468579e-05
2016-03-23,99989.13781398509,-5.431387991206016e-05
2016-03-24,100000.00000000003,0.00010863366013968978
2016-03-28,100000.00000000003,0.0
2016-03-29,100000.00000000003,0.0
2016-03-30,100000.00000000003,0.0
2016-03-31,100000.00000000003,0.0
2016-04-01,100000.00000000003,0.0
2016-04-04,100000.00000000003,0.0
2016-04-05,100005.43109300749,5.431093007457477e-05
2016-04-06,100005.43109300749,0.0
2016-04-07,100000.00000000003,-5.430798055761077e-05
2016-04-08,100005.43109300749,5.431093007457477e-05
2016-04-11,100000.00000000003,-5.430798055761077e-05
2016-04-12,100000.00000000003,0.0
2016-04-13,100005.43109300749,5.431093007457477e-05
2016-04-14,100005.43109300749,0.0
2016-04-15,100000.00000000003,-5.430798055761077e-05
2016-04-18,100005.43109300749,5.431093007457477e-05
2016-04-19,100005.43109300749,0.0
2016-04-20,100005.43109300749,0.0
2016-04-21,100000.00000000003,-5.430798055761077e-05
2016-04-22,100005.43109300749,5.431093007457477e-05
2016-04-25,100000.00000000003,-5.430798055761077e-05
2016-04-26,100005.43109300749,5.431093007457477e-05
2016-04-27,100005.43109300749,0.0
2016-04-28,100005.43109300749,0.0
2016-04-29,100016.29327902243,0.00010861596111566563
2016-05-02,100005.43109300749,-0.00010860416496982772
2016-05-03,100016.29327902243,0.00010861596111566563
2016-05-04,100005.43109300749,-0.00010860416496982772
2016-05-05,100005.43109300749,0.0
2016-05-06,100016.29327902243,0.00010861596111566563
2016-05-09,100016.29327902243,0.0
2016-05-10,100016.29327902243,0.0
2016-05-11,100000.00000000003,-0.00016290624745451954
2016-05-12,100000.00000000003,0.0
2016-05-13,100000.00000000003,0.0
2016-05-16,100000.00000000003,0.0
2016-05-17,100000.00000000003,0.0
2016-05-18,100005.43109300749,5.431093007457477e-05
2016-05-19,100000.00000000003,-5.430798055761077e-05
2016-05-20,100005.43109300749,5.431093007457477e-05
2016-05-23,100016.29327902243,0.00010861596111566563
2016-05-24,100000.00000000003,-0.00016290624745451954
2016-05-25,100005.43109300749,5.431093007457477e-05
2016-05-26,100005.43109300749,0.0
2016-05-27,100016.29327902243,0.00010861596111566563
2016-05-31,100016.29327902243,0.0
2016-06-01,100016.29327902243,0.0
2016-06-02,100005.43109300749,-0.00010860416496982772
2016-06-03,100016.29327902243,0.00010861596111566563
2016-06-06,100021.72437202989,5.430208248480284e-05
2016-06-07,100021.72437202989,0.0
2016-06-08,100021.72437202989,0.0
2016-06-09,100005.4310930075,-0.00016289740178632162
2016-06-10,100005.4310930075,0.0
2016-06-13,100005.4310930075,0.0
2016-06-14,100005.4310930075,0.0
2016-06-15,100005.4310930075,0.0
2016-06-16,100016.29327902244,0.00010861596111566563
2016-06-17,100005.4310930075,-0.00010860416496982772
2016-06-20,100016.29327902244,0.00010861596111566563
2016-06-21,100016.29327902244,0.0
2016-06-22,100016.29327902244,0.0
2016-06-23,100016.29327902244,0.0
2016-06-24,100005.4310930075,-0.00010860416496982772
2016-06-27,100005.4310930075,0.0
2016-06-28,100005.4310930075,0.0
2016-06-29,100005.4310930075,0.0
2016-06-30,100005.4310930075,0.0
2016-07-01,100021.72437202989,0.00016292394167316537
2016-07-05,100021.72437202989,0.0
2016-07-06,100016.29327902243,-5.4299133928736865e-05
2016-07-07,100021.72437202989,5.430208248480284e-05
2016-07-08,100016.29327902243,-5.4299133928736865e-05
2016-07-11,100021.72437202989,5.430208248480284e-05
2016-07-12,100005.4310930075,-0.00016289740178632162
2016-07-13,100016.29327902244,0.00010861596111566563
2016-07-14,100021.7243720299,5.430208248480284e-05
2016-07-15,100016.29327902244,-5.4299133928736865e-05
2016-07-18,100016.29327902244,0.0
2016-07-19,100021.7243720299,5.430208248480284e-05
2016-07-20,100021.7243720299,0.0
2016-07-21,100021.7243720299,0.0
2016-07-22,100021.7243720299,0.0
2016-07-25,100016.29327902244,-5.4299133928736865e-05
2016-07-26,100016.29327902244,0.0
2016-07-27,100021.7243720299,5.430208248480284e-05
2016-07-28,100016.29327902244,-5.4299133928736865e-05
2016-07-29,100021.7243720299,5.430208248480284e-05
2016-08-01,100016.29327902244,-5.4299133928736865e-05
2016-08-02,100021.7243720299,5.430208248480284e-05
2016-08-03,100016.29327902244,-5.4299133928736865e-05
2016-08-04,100016.29327902244,0.0
2016-08-05,100016.29327902244,0.0
2016-08-08,100016.29327902244,0.0
2016-08-09,100016.29327902244,0.0
2016-08-10,100016.29327902244,0.0
2016-08-11,100016.29327902244,0.0
2016-08-12,100016.29327902244,0.0
2016-08-15,100016.29327902244,0.0
2016-08-16,100016.29327902244,0.0
2016-08-17,100016.29327902244,0.0
2016-08-18,100021.7243720299,5.430208248480284e-05
2016-08-19,100016.29327902244,-5.4299133928736865e-05
2016-08-22,100016.29327902244,0.0
2016-08-23,100016.29327902244,0.0
2016-08-24,100021.7243720299,5.430208248480284e-05
2016-08-25,100016.29327902244,-5.4299133928736865e-05
2016-08-26,100016.29327902244,0.0
2016-08-29,100021.7243720299,5.430208248480284e-05
2016-08-30,100021.7243720299,0.0
2016-08-31,100021.7243720299,0.0
2016-09-01,100021.7243720299,0.0
2016-09-02,100032.58655804483,0.00010859826785747373
2016-09-06,100032.58655804483,0.0
2016-09-07,100021.7243720299,-0.00010858647555445078
2016-09-08,100021.7243720299,0.0
2016-09-09,100032.58655804483,0.00010859826785747373
2016-09-12,100016.29327902244,-0.00016287971333150963
2016-09-13,100021.7243720299,5.430208248480284e-05
2016-09-14,100021.7243720299,0.0
2016-09-15,100021.7243720299,0.0
2016-09-16,100021.7243720299,0.0
2016-09-19,100021.7243720299,0.0
2016-09-20,100021.7243720299,0.0
2016-09-21,100021.7243720299,0.0
2016-09-22,100032.58655804483,0.00010859826785747373
2016-09-23,100032.58655804483,0.0
2016-09-26,100032.58655804483,0.0
2016-09-27,100021.7243720299,-0.00010858647555445078
2016-09-28,100021.7243720299,0.0
2016-09-29,100021.7243720299,0.0
2016-09-30,100032.58655804483,0.00010859826785747373
2016-10-03,100021.7243720299,-0.00010858647555445078
2016-10-04,100032.58655804483,0.00010859826785747373
2016-10-05,100032.58655804483,0.0
2016-10-06,100032.58655804483,0.0
2016-10-07,100032.58655804483,0.0
2016-10-10,100032.58655804483,0.0
2016-10-11,100021.7243720299,-0.00010858647555445078
2016-10-12,100032.58655804483,0.00010859826785747373
2016-10-13,100021.7243720299,-0.00010858647555445078
2016-10-14,100021.7243720299,0.0
2016-10-17,100021.7243720299,0.0
2016-10-18,100021.7243720299,0.0
2016-10-19,100032.82662060577,0.00011099837205952312
2016-10-20,100008.61101026321,-0.00024207663784614475
2016-10-21,100008.61101026321,0.0
2016-10-24,100008.61101026321,0.0
2016-10-25,100019.46846867143,0.00010856523551860953
2016-10-26,99964.64491088138,-0.0005481288656039585
2016-10-27,99887.3299094461,-0.0007734234589060751
2016-10-28,99873.79206455228,-0.0001355311520098157
2016-10-31,99930.86922341869,0.0005714928580013989
2016-11-01,99786.44915934307,-0.0014451997185447318
2016-11-02,99802.88774472475,0.00016473765245850203
